strategy,threshold,margin,alpha,beta,gamma,source_accuracy,top1_accuracy,mrr,fpr_local,fnr_local,precision_local,recall_local,f1_local,kb_utilization,local_rate,openai_rate,openai_calls,false_compliance,total_cost,tp_local,fp_local,fn_local,tn_local,objective_source_accuracy,objective_f1_local,objective_cost
cosine_threshold,0.73,0.00,0.70,0.20,0.10,0.7093,0.8478,0.8986,0.0000,0.5217,1.0000,0.4783,0.6471,0.4783,0.2558,0.4767,41,2,66.3000,22,0,24,40,0.7093,0.6471,66.3000
cosine_threshold,0.74,0.00,0.70,0.20,0.10,0.6977,0.8478,0.8986,0.0000,0.5435,1.0000,0.4565,0.6269,0.4565,0.2442,0.4884,42,2,68.6000,21,0,25,40,0.6977,0.6269,68.6000
cosine_threshold,0.75,0.00,0.70,0.20,0.10,0.6628,0.8478,0.8986,0.0000,0.6087,1.0000,0.3913,0.5625,0.3913,0.2093,0.5233,45,2,75.5000,18,0,28,40,0.6628,0.5625,75.5000
cosine_threshold,0.76,0.00,0.70,0.20,0.10,0.6512,0.8478,0.8986,0.0000,0.6304,1.0000,0.3696,0.5397,0.3696,0.1977,0.5349,46,2,77.8000,17,0,29,40,0.6512,0.5397,77.8000
cosine_threshold,0.77,0.00,0.70,0.20,0.10,0.6395,0.8478,0.8986,0.0000,0.6522,1.0000,0.3478,0.5161,0.3478,0.1860,0.5465,47,2,80.1000,16,0,30,40,0.6395,0.5161,80.1000
cosine_threshold,0.78,0.00,0.70,0.20,0.10,0.6279,0.8478,0.8986,0.0000,0.6739,1.0000,0.3261,0.4918,0.3261,0.1744,0.5581,48,2,82.4000,15,0,31,40,0.6279,0.4918,82.4000
cosine_threshold,0.79,0.00,0.70,0.20,0.10,0.6047,0.8478,0.8986,0.0000,0.7174,1.0000,0.2826,0.4407,0.2826,0.1512,0.5814,50,2,87.0000,13,0,33,40,0.6047,0.4407,87.0000
cosine_threshold,0.80,0.00,0.70,0.20,0.10,0.5930,0.8478,0.8986,0.0000,0.7391,1.0000,0.2609,0.4138,0.2609,0.1395,0.5930,51,2,89.3000,12,0,34,40,0.5930,0.4138,89.3000
cosine_threshold,0.81,0.00,0.70,0.20,0.10,0.5814,0.8478,0.8986,0.0000,0.7609,1.0000,0.2391,0.3860,0.2391,0.1279,0.6047,52,2,91.6000,11,0,35,40,0.5814,0.3860,91.6000
cosine_threshold,0.82,0.00,0.70,0.20,0.10,0.5698,0.8478,0.8986,0.0000,0.7826,1.0000,0.2174,0.3571,0.2174,0.1163,0.6163,53,2,93.9000,10,0,36,40,0.5698,0.3571,93.9000
cosine_threshold,0.83,0.00,0.70,0.20,0.10,0.5698,0.8478,0.8986,0.0000,0.7826,1.0000,0.2174,0.3571,0.2174,0.1163,0.6163,53,2,93.9000,10,0,36,40,0.5698,0.3571,93.9000
cosine_threshold,0.84,0.00,0.70,0.20,0.10,0.5465,0.8478,0.8986,0.0000,0.8261,1.0000,0.1739,0.2963,0.1739,0.0930,0.6395,55,2,98.5000,8,0,38,40,0.5465,0.2963,98.5000
cosine_threshold,0.85,0.00,0.70,0.20,0.10,0.5233,0.8478,0.8986,0.0000,0.8696,1.0000,0.1304,0.2308,0.1304,0.0698,0.6628,57,2,103.1000,6,0,40,40,0.5233,0.2308,103.1000
cosine_threshold,0.86,0.00,0.70,0.20,0.10,0.4884,0.8478,0.8986,0.0000,0.9348,1.0000,0.0652,0.1224,0.0652,0.0349,0.6977,60,2,110.0000,3,0,43,40,0.4884,0.1224,110.0000
cosine_threshold,0.87,0.00,0.70,0.20,0.10,0.4884,0.8478,0.8986,0.0000,0.9348,1.0000,0.0652,0.1224,0.0652,0.0349,0.6977,60,2,110.0000,3,0,43,40,0.4884,0.1224,110.0000
cosine_threshold,0.88,0.00,0.70,0.20,0.10,0.4884,0.8478,0.8986,0.0000,0.9348,1.0000,0.0652,0.1224,0.0652,0.0349,0.6977,60,2,110.0000,3,0,43,40,0.4884,0.1224,110.0000
cosine_threshold,0.89,0.00,0.70,0.20,0.10,0.4884,0.8478,0.8986,0.0000,0.9348,1.0000,0.0652,0.1224,0.0652,0.0349,0.6977,60,2,110.0000,3,0,43,40,0.4884,0.1224,110.0000
cosine_threshold,0.90,0.00,0.70,0.20,0.10,0.4767,0.8478,0.8986,0.0000,0.9565,1.0000,0.0435,0.0833,0.0435,0.0233,0.7093,61,2,112.3000,2,0,44,40,0.4767,0.0833,112.3000
cosine_threshold,0.91,0.00,0.70,0.20,0.10,0.4767,0.8478,0.8986,0.0000,0.9565,1.0000,0.0435,0.0833,0.0435,0.0233,0.7093,61,2,112.3000,2,0,44,40,0.4767,0.0833,112.3000
cosine_threshold,0.92,0.00,0.70,0.20,0.10,0.4767,0.8478,0.8986,0.0000,0.9565,1.0000,0.0435,0.0833,0.0435,0.0233,0.7093,61,2,112.3000,2,0,44,40,0.4767,0.0833,112.3000
